name;type1;type2;total;hp;attack;defense;spAtt;spDef;speed;generation;legendary
bulbasaur;grass;poison;318;45;49;49;65;65;45;1;FALSE
ivysaur;grass;poison;405;60;62;63;80;80;60;1;FALSE
venusaur;grass;poison;525;80;82;83;100;100;80;1;FALSE
venusaurmega venusaur;grass;poison;625;80;100;123;122;120;80;1;FALSE
charmander;fire;;309;39;52;43;60;50;65;1;FALSE
charmeleon;fire;;405;58;64;58;80;65;80;1;FALSE
charizard;fire;flying;534;78;84;78;109;85;100;1;FALSE
charizardmega charizard x;fire;dragon;634;78;130;111;130;85;100;1;FALSE
charizardmega charizard y;fire;flying;634;78;104;78;159;115;100;1;FALSE
squirtle;water;;314;44;48;65;50;64;43;1;FALSE
wartortle;water;;405;59;63;80;65;80;58;1;FALSE
blastoise;water;;530;79;83;100;85;105;78;1;FALSE
blastoisemega blastoise;water;;630;79;103;120;135;115;78;1;FALSE
caterpie;bug;;195;45;30;35;20;20;45;1;FALSE
metapod;bug;;205;50;20;55;25;25;30;1;FALSE
butterfree;bug;flying;395;60;45;50;90;80;70;1;FALSE
weedle;bug;poison;195;40;35;30;20;20;50;1;FALSE
kakuna;bug;poison;205;45;25;50;25;25;35;1;FALSE
beedrill;bug;poison;395;65;90;40;45;80;75;1;FALSE
beedrillmega beedrill;bug;poison;495;65;150;40;15;80;145;1;FALSE
pidgey;normal;flying;251;40;45;40;35;35;56;1;FALSE
pidgeotto;normal;flying;349;63;60;55;50;50;71;1;FALSE
pidgeot;normal;flying;479;83;80;75;70;70;101;1;FALSE
pidgeotmega pidgeot;normal;flying;579;83;80;80;135;80;121;1;FALSE
rattata;normal;;253;30;56;35;25;35;72;1;FALSE
raticate;normal;;413;55;81;60;50;70;97;1;FALSE
spearow;normal;flying;262;40;60;30;31;31;70;1;FALSE
fearow;normal;flying;442;65;90;65;61;61;100;1;FALSE
ekans;poison;;288;35;60;44;40;54;55;1;FALSE
arbok;poison;;438;60;85;69;65;79;80;1;FALSE
pikachu;electric;;320;35;55;40;50;50;90;1;FALSE
raichu;electric;;485;60;90;55;90;80;110;1;FALSE
sandshrew;ground;;300;50;75;85;20;30;40;1;FALSE
sandslash;ground;;450;75;100;110;45;55;65;1;FALSE
nidoranâ™€;poison;;275;55;47;52;40;40;41;1;FALSE
nidorina;poison;;365;70;62;67;55;55;56;1;FALSE
nidoqueen;poison;ground;505;90;92;87;75;85;76;1;FALSE
nidoranâ™‚;poison;;273;46;57;40;40;40;50;1;FALSE
nidorino;poison;;365;61;72;57;55;55;65;1;FALSE
nidoking;poison;ground;505;81;102;77;85;75;85;1;FALSE
clefairy;fairy;;323;70;45;48;60;65;35;1;FALSE
clefable;fairy;;483;95;70;73;95;90;60;1;FALSE
vulpix;fire;;299;38;41;40;50;65;65;1;FALSE
ninetales;fire;;505;73;76;75;81;100;100;1;FALSE
jigglypuff;normal;fairy;270;115;45;20;45;25;20;1;FALSE
wigglytuff;normal;fairy;435;140;70;45;85;50;45;1;FALSE
zubat;poison;flying;245;40;45;35;30;40;55;1;FALSE
golbat;poison;flying;455;75;80;70;65;75;90;1;FALSE
oddish;grass;poison;320;45;50;55;75;65;30;1;FALSE
gloom;grass;poison;395;60;65;70;85;75;40;1;FALSE
vileplume;grass;poison;490;75;80;85;110;90;50;1;FALSE
paras;bug;grass;285;35;70;55;45;55;25;1;FALSE
parasect;bug;grass;405;60;95;80;60;80;30;1;FALSE
venonat;bug;poison;305;60;55;50;40;55;45;1;FALSE
venomoth;bug;poison;450;70;65;60;90;75;90;1;FALSE
diglett;ground;;265;10;55;25;35;45;95;1;FALSE
dugtrio;ground;;405;35;80;50;50;70;120;1;FALSE
meowth;normal;;290;40;45;35;40;40;90;1;FALSE
persian;normal;;440;65;70;60;65;65;115;1;FALSE
psyduck;water;;320;50;52;48;65;50;55;1;FALSE
golduck;water;;500;80;82;78;95;80;85;1;FALSE
mankey;fighting;;305;40;80;35;35;45;70;1;FALSE
primeape;fighting;;455;65;105;60;60;70;95;1;FALSE
growlithe;fire;;350;55;70;45;70;50;60;1;FALSE
arcanine;fire;;555;90;110;80;100;80;95;1;FALSE
poliwag;water;;300;40;50;40;40;40;90;1;FALSE
poliwhirl;water;;385;65;65;65;50;50;90;1;FALSE
poliwrath;water;fighting;510;90;95;95;70;90;70;1;FALSE
abra;psychic;;310;25;20;15;105;55;90;1;FALSE
kadabra;psychic;;400;40;35;30;120;70;105;1;FALSE
alakazam;psychic;;500;55;50;45;135;95;120;1;FALSE
alakazammega alakazam;psychic;;590;55;50;65;175;95;150;1;FALSE
machop;fighting;;305;70;80;50;35;35;35;1;FALSE
machoke;fighting;;405;80;100;70;50;60;45;1;FALSE
machamp;fighting;;505;90;130;80;65;85;55;1;FALSE
bellsprout;grass;poison;300;50;75;35;70;30;40;1;FALSE
weepinbell;grass;poison;390;65;90;50;85;45;55;1;FALSE
victreebel;grass;poison;490;80;105;65;100;70;70;1;FALSE
tentacool;water;poison;335;40;40;35;50;100;70;1;FALSE
tentacruel;water;poison;515;80;70;65;80;120;100;1;FALSE
geodude;rock;ground;300;40;80;100;30;30;20;1;FALSE
graveler;rock;ground;390;55;95;115;45;45;35;1;FALSE
golem;rock;ground;495;80;120;130;55;65;45;1;FALSE
ponyta;fire;;410;50;85;55;65;65;90;1;FALSE
rapidash;fire;;500;65;100;70;80;80;105;1;FALSE
slowpoke;water;psychic;315;90;65;65;40;40;15;1;FALSE
slowbro;water;psychic;490;95;75;110;100;80;30;1;FALSE
slowbromega slowbro;water;psychic;590;95;75;180;130;80;30;1;FALSE
magnemite;electric;steel;325;25;35;70;95;55;45;1;FALSE
magneton;electric;steel;465;50;60;95;120;70;70;1;FALSE
farfetch'd;normal;flying;352;52;65;55;58;62;60;1;FALSE
doduo;normal;flying;310;35;85;45;35;35;75;1;FALSE
dodrio;normal;flying;460;60;110;70;60;60;100;1;FALSE
seel;water;;325;65;45;55;45;70;45;1;FALSE
dewgong;water;ice;475;90;70;80;70;95;70;1;FALSE
grimer;poison;;325;80;80;50;40;50;25;1;FALSE
muk;poison;;500;105;105;75;65;100;50;1;FALSE
shellder;water;;305;30;65;100;45;25;40;1;FALSE
cloyster;water;ice;525;50;95;180;85;45;70;1;FALSE
gastly;ghost;poison;310;30;35;30;100;35;80;1;FALSE
haunter;ghost;poison;405;45;50;45;115;55;95;1;FALSE
gengar;ghost;poison;500;60;65;60;130;75;110;1;FALSE
gengarmega gengar;ghost;poison;600;60;65;80;170;95;130;1;FALSE
onix;rock;ground;385;35;45;160;30;45;70;1;FALSE
drowzee;psychic;;328;60;48;45;43;90;42;1;FALSE
hypno;psychic;;483;85;73;70;73;115;67;1;FALSE
krabby;water;;325;30;105;90;25;25;50;1;FALSE
kingler;water;;475;55;130;115;50;50;75;1;FALSE
voltorb;electric;;330;40;30;50;55;55;100;1;FALSE
electrode;electric;;480;60;50;70;80;80;140;1;FALSE
exeggcute;grass;psychic;325;60;40;80;60;45;40;1;FALSE
exeggutor;grass;psychic;520;95;95;85;125;65;55;1;FALSE
cubone;ground;;320;50;50;95;40;50;35;1;FALSE
marowak;ground;;425;60;80;110;50;80;45;1;FALSE
hitmonlee;fighting;;455;50;120;53;35;110;87;1;FALSE
hitmonchan;fighting;;455;50;105;79;35;110;76;1;FALSE
lickitung;normal;;385;90;55;75;60;75;30;1;FALSE
koffing;poison;;340;40;65;95;60;45;35;1;FALSE
weezing;poison;;490;65;90;120;85;70;60;1;FALSE
rhyhorn;ground;rock;345;80;85;95;30;30;25;1;FALSE
rhydon;ground;rock;485;105;130;120;45;45;40;1;FALSE
chansey;normal;;450;250;5;5;35;105;50;1;FALSE
tangela;grass;;435;65;55;115;100;40;60;1;FALSE
kangaskhan;normal;;490;105;95;80;40;80;90;1;FALSE
kangaskhanmega kangaskhan;normal;;590;105;125;100;60;100;100;1;FALSE
horsea;water;;295;30;40;70;70;25;60;1;FALSE
seadra;water;;440;55;65;95;95;45;85;1;FALSE
goldeen;water;;320;45;67;60;35;50;63;1;FALSE
seaking;water;;450;80;92;65;65;80;68;1;FALSE
staryu;water;;340;30;45;55;70;55;85;1;FALSE
starmie;water;psychic;520;60;75;85;100;85;115;1;FALSE
mr. mime;psychic;fairy;460;40;45;65;100;120;90;1;FALSE
scyther;bug;flying;500;70;110;80;55;80;105;1;FALSE
jynx;ice;psychic;455;65;50;35;115;95;95;1;FALSE
electabuzz;electric;;490;65;83;57;95;85;105;1;FALSE
magmar;fire;;495;65;95;57;100;85;93;1;FALSE
pinsir;bug;;500;65;125;100;55;70;85;1;FALSE
pinsirmega pinsir;bug;flying;600;65;155;120;65;90;105;1;FALSE
tauros;normal;;490;75;100;95;40;70;110;1;FALSE
magikarp;water;;200;20;10;55;15;20;80;1;FALSE
gyarados;water;flying;540;95;125;79;60;100;81;1;FALSE
gyaradosmega gyarados;water;dark;640;95;155;109;70;130;81;1;FALSE
lapras;water;ice;535;130;85;80;85;95;60;1;FALSE
ditto;normal;;288;48;48;48;48;48;48;1;FALSE
eevee;normal;;325;55;55;50;45;65;55;1;FALSE
vaporeon;water;;525;130;65;60;110;95;65;1;FALSE
jolteon;electric;;525;65;65;60;110;95;130;1;FALSE
flareon;fire;;525;65;130;60;95;110;65;1;FALSE
porygon;normal;;395;65;60;70;85;75;40;1;FALSE
omanyte;rock;water;355;35;40;100;90;55;35;1;FALSE
omastar;rock;water;495;70;60;125;115;70;55;1;FALSE
kabuto;rock;water;355;30;80;90;55;45;55;1;FALSE
kabutops;rock;water;495;60;115;105;65;70;80;1;FALSE
aerodactyl;rock;flying;515;80;105;65;60;75;130;1;FALSE
aerodactylmega aerodactyl;rock;flying;615;80;135;85;70;95;150;1;FALSE
snorlax;normal;;540;160;110;65;65;110;30;1;FALSE
articuno;ice;flying;580;90;85;100;95;125;85;1;TRUE
zapdos;electric;flying;580;90;90;85;125;90;100;1;TRUE
moltres;fire;flying;580;90;100;90;125;85;90;1;TRUE
dratini;dragon;;300;41;64;45;50;50;50;1;FALSE
dragonair;dragon;;420;61;84;65;70;70;70;1;FALSE
dragonite;dragon;flying;600;91;134;95;100;100;80;1;FALSE
mewtwo;psychic;;680;106;110;90;154;90;130;1;TRUE
mewtwomega mewtwo x;psychic;fighting;780;106;190;100;154;100;130;1;TRUE
mewtwomega mewtwo y;psychic;;780;106;150;70;194;120;140;1;TRUE
mew;psychic;;600;100;100;100;100;100;100;1;FALSE
chikorita;grass;;318;45;49;65;49;65;45;2;FALSE
bayleef;grass;;405;60;62;80;63;80;60;2;FALSE
meganium;grass;;525;80;82;100;83;100;80;2;FALSE
cyndaquil;fire;;309;39;52;43;60;50;65;2;FALSE
quilava;fire;;405;58;64;58;80;65;80;2;FALSE
typhlosion;fire;;534;78;84;78;109;85;100;2;FALSE
totodile;water;;314;50;65;64;44;48;43;2;FALSE
croconaw;water;;405;65;80;80;59;63;58;2;FALSE
feraligatr;water;;530;85;105;100;79;83;78;2;FALSE
sentret;normal;;215;35;46;34;35;45;20;2;FALSE
furret;normal;;415;85;76;64;45;55;90;2;FALSE
hoothoot;normal;flying;262;60;30;30;36;56;50;2;FALSE
noctowl;normal;flying;442;100;50;50;76;96;70;2;FALSE
ledyba;bug;flying;265;40;20;30;40;80;55;2;FALSE
ledian;bug;flying;390;55;35;50;55;110;85;2;FALSE
spinarak;bug;poison;250;40;60;40;40;40;30;2;FALSE
ariados;bug;poison;390;70;90;70;60;60;40;2;FALSE
crobat;poison;flying;535;85;90;80;70;80;130;2;FALSE
chinchou;water;electric;330;75;38;38;56;56;67;2;FALSE
lanturn;water;electric;460;125;58;58;76;76;67;2;FALSE
pichu;electric;;205;20;40;15;35;35;60;2;FALSE
cleffa;fairy;;218;50;25;28;45;55;15;2;FALSE
igglybuff;normal;fairy;210;90;30;15;40;20;15;2;FALSE
togepi;fairy;;245;35;20;65;40;65;20;2;FALSE
togetic;fairy;flying;405;55;40;85;80;105;40;2;FALSE
natu;psychic;flying;320;40;50;45;70;45;70;2;FALSE
xatu;psychic;flying;470;65;75;70;95;70;95;2;FALSE
mareep;electric;;280;55;40;40;65;45;35;2;FALSE
flaaffy;electric;;365;70;55;55;80;60;45;2;FALSE
ampharos;electric;;510;90;75;85;115;90;55;2;FALSE
ampharosmega ampharos;electric;dragon;610;90;95;105;165;110;45;2;FALSE
bellossom;grass;;490;75;80;95;90;100;50;2;FALSE
marill;water;fairy;250;70;20;50;20;50;40;2;FALSE
azumarill;water;fairy;420;100;50;80;60;80;50;2;FALSE
sudowoodo;rock;;410;70;100;115;30;65;30;2;FALSE
politoed;water;;500;90;75;75;90;100;70;2;FALSE
hoppip;grass;flying;250;35;35;40;35;55;50;2;FALSE
skiploom;grass;flying;340;55;45;50;45;65;80;2;FALSE
jumpluff;grass;flying;460;75;55;70;55;95;110;2;FALSE
aipom;normal;;360;55;70;55;40;55;85;2;FALSE
sunkern;grass;;180;30;30;30;30;30;30;2;FALSE
sunflora;grass;;425;75;75;55;105;85;30;2;FALSE
yanma;bug;flying;390;65;65;45;75;45;95;2;FALSE
wooper;water;ground;210;55;45;45;25;25;15;2;FALSE
quagsire;water;ground;430;95;85;85;65;65;35;2;FALSE
espeon;psychic;;525;65;65;60;130;95;110;2;FALSE
umbreon;dark;;525;95;65;110;60;130;65;2;FALSE
murkrow;dark;flying;405;60;85;42;85;42;91;2;FALSE
slowking;water;psychic;490;95;75;80;100;110;30;2;FALSE
misdreavus;ghost;;435;60;60;60;85;85;85;2;FALSE
unown;psychic;;336;48;72;48;72;48;48;2;FALSE
wobbuffet;psychic;;405;190;33;58;33;58;33;2;FALSE
girafarig;normal;psychic;455;70;80;65;90;65;85;2;FALSE
pineco;bug;;290;50;65;90;35;35;15;2;FALSE
forretress;bug;steel;465;75;90;140;60;60;40;2;FALSE
dunsparce;normal;;415;100;70;70;65;65;45;2;FALSE
gligar;ground;flying;430;65;75;105;35;65;85;2;FALSE
steelix;steel;ground;510;75;85;200;55;65;30;2;FALSE
steelixmega steelix;steel;ground;610;75;125;230;55;95;30;2;FALSE
snubbull;fairy;;300;60;80;50;40;40;30;2;FALSE
granbull;fairy;;450;90;120;75;60;60;45;2;FALSE
qwilfish;water;poison;430;65;95;75;55;55;85;2;FALSE
scizor;bug;steel;500;70;130;100;55;80;65;2;FALSE
scizormega scizor;bug;steel;600;70;150;140;65;100;75;2;FALSE
shuckle;bug;rock;505;20;10;230;10;230;5;2;FALSE
heracross;bug;fighting;500;80;125;75;40;95;85;2;FALSE
heracrossmega heracross;bug;fighting;600;80;185;115;40;105;75;2;FALSE
sneasel;dark;ice;430;55;95;55;35;75;115;2;FALSE
teddiursa;normal;;330;60;80;50;50;50;40;2;FALSE
ursaring;normal;;500;90;130;75;75;75;55;2;FALSE
slugma;fire;;250;40;40;40;70;40;20;2;FALSE
magcargo;fire;rock;410;50;50;120;80;80;30;2;FALSE
swinub;ice;ground;250;50;50;40;30;30;50;2;FALSE
piloswine;ice;ground;450;100;100;80;60;60;50;2;FALSE
corsola;water;rock;380;55;55;85;65;85;35;2;FALSE
remoraid;water;;300;35;65;35;65;35;65;2;FALSE
octillery;water;;480;75;105;75;105;75;45;2;FALSE
delibird;ice;flying;330;45;55;45;65;45;75;2;FALSE
mantine;water;flying;465;65;40;70;80;140;70;2;FALSE
skarmory;steel;flying;465;65;80;140;40;70;70;2;FALSE
houndour;dark;fire;330;45;60;30;80;50;65;2;FALSE
houndoom;dark;fire;500;75;90;50;110;80;95;2;FALSE
houndoommega houndoom;dark;fire;600;75;90;90;140;90;115;2;FALSE
kingdra;water;dragon;540;75;95;95;95;95;85;2;FALSE
phanpy;ground;;330;90;60;60;40;40;40;2;FALSE
donphan;ground;;500;90;120;120;60;60;50;2;FALSE
porygon2;normal;;515;85;80;90;105;95;60;2;FALSE
stantler;normal;;465;73;95;62;85;65;85;2;FALSE
smeargle;normal;;250;55;20;35;20;45;75;2;FALSE
tyrogue;fighting;;210;35;35;35;35;35;35;2;FALSE
hitmontop;fighting;;455;50;95;95;35;110;70;2;FALSE
smoochum;ice;psychic;305;45;30;15;85;65;65;2;FALSE
elekid;electric;;360;45;63;37;65;55;95;2;FALSE
magby;fire;;365;45;75;37;70;55;83;2;FALSE
miltank;normal;;490;95;80;105;40;70;100;2;FALSE
blissey;normal;;540;255;10;10;75;135;55;2;FALSE
raikou;electric;;580;90;85;75;115;100;115;2;TRUE
entei;fire;;580;115;115;85;90;75;100;2;TRUE
suicune;water;;580;100;75;115;90;115;85;2;TRUE
larvitar;rock;ground;300;50;64;50;45;50;41;2;FALSE
pupitar;rock;ground;410;70;84;70;65;70;51;2;FALSE
tyranitar;rock;dark;600;100;134;110;95;100;61;2;FALSE
tyranitarmega tyranitar;rock;dark;700;100;164;150;95;120;71;2;FALSE
lugia;psychic;flying;680;106;90;130;90;154;110;2;TRUE
ho-oh;fire;flying;680;106;130;90;110;154;90;2;TRUE
celebi;psychic;grass;600;100;100;100;100;100;100;2;FALSE
treecko;grass;;310;40;45;35;65;55;70;3;FALSE
grovyle;grass;;405;50;65;45;85;65;95;3;FALSE
sceptile;grass;;530;70;85;65;105;85;120;3;FALSE
sceptilemega sceptile;grass;dragon;630;70;110;75;145;85;145;3;FALSE
torchic;fire;;310;45;60;40;70;50;45;3;FALSE
combusken;fire;fighting;405;60;85;60;85;60;55;3;FALSE
blaziken;fire;fighting;530;80;120;70;110;70;80;3;FALSE
blazikenmega blaziken;fire;fighting;630;80;160;80;130;80;100;3;FALSE
mudkip;water;;310;50;70;50;50;50;40;3;FALSE
marshtomp;water;ground;405;70;85;70;60;70;50;3;FALSE
swampert;water;ground;535;100;110;90;85;90;60;3;FALSE
swampertmega swampert;water;ground;635;100;150;110;95;110;70;3;FALSE
poochyena;dark;;220;35;55;35;30;30;35;3;FALSE
mightyena;dark;;420;70;90;70;60;60;70;3;FALSE
zigzagoon;normal;;240;38;30;41;30;41;60;3;FALSE
linoone;normal;;420;78;70;61;50;61;100;3;FALSE
wurmple;bug;;195;45;45;35;20;30;20;3;FALSE
silcoon;bug;;205;50;35;55;25;25;15;3;FALSE
beautifly;bug;flying;395;60;70;50;100;50;65;3;FALSE
cascoon;bug;;205;50;35;55;25;25;15;3;FALSE
dustox;bug;poison;385;60;50;70;50;90;65;3;FALSE
lotad;water;grass;220;40;30;30;40;50;30;3;FALSE
lombre;water;grass;340;60;50;50;60;70;50;3;FALSE
ludicolo;water;grass;480;80;70;70;90;100;70;3;FALSE
seedot;grass;;220;40;40;50;30;30;30;3;FALSE
nuzleaf;grass;dark;340;70;70;40;60;40;60;3;FALSE
shiftry;grass;dark;480;90;100;60;90;60;80;3;FALSE
taillow;normal;flying;270;40;55;30;30;30;85;3;FALSE
swellow;normal;flying;430;60;85;60;50;50;125;3;FALSE
wingull;water;flying;270;40;30;30;55;30;85;3;FALSE
pelipper;water;flying;430;60;50;100;85;70;65;3;FALSE
ralts;psychic;fairy;198;28;25;25;45;35;40;3;FALSE
kirlia;psychic;fairy;278;38;35;35;65;55;50;3;FALSE
gardevoir;psychic;fairy;518;68;65;65;125;115;80;3;FALSE
gardevoirmega gardevoir;psychic;fairy;618;68;85;65;165;135;100;3;FALSE
surskit;bug;water;269;40;30;32;50;52;65;3;FALSE
masquerain;bug;flying;414;70;60;62;80;82;60;3;FALSE
shroomish;grass;;295;60;40;60;40;60;35;3;FALSE
breloom;grass;fighting;460;60;130;80;60;60;70;3;FALSE
slakoth;normal;;280;60;60;60;35;35;30;3;FALSE
vigoroth;normal;;440;80;80;80;55;55;90;3;FALSE
slaking;normal;;670;150;160;100;95;65;100;3;FALSE
nincada;bug;ground;266;31;45;90;30;30;40;3;FALSE
ninjask;bug;flying;456;61;90;45;50;50;160;3;FALSE
shedinja;bug;ghost;236;1;90;45;30;30;40;3;FALSE
whismur;normal;;240;64;51;23;51;23;28;3;FALSE
loudred;normal;;360;84;71;43;71;43;48;3;FALSE
exploud;normal;;490;104;91;63;91;73;68;3;FALSE
makuhita;fighting;;237;72;60;30;20;30;25;3;FALSE
hariyama;fighting;;474;144;120;60;40;60;50;3;FALSE
azurill;normal;fairy;190;50;20;40;20;40;20;3;FALSE
nosepass;rock;;375;30;45;135;45;90;30;3;FALSE
skitty;normal;;260;50;45;45;35;35;50;3;FALSE
delcatty;normal;;380;70;65;65;55;55;70;3;FALSE
sableye;dark;ghost;380;50;75;75;65;65;50;3;FALSE
sableyemega sableye;dark;ghost;480;50;85;125;85;115;20;3;FALSE
mawile;steel;fairy;380;50;85;85;55;55;50;3;FALSE
mawilemega mawile;steel;fairy;480;50;105;125;55;95;50;3;FALSE
aron;steel;rock;330;50;70;100;40;40;30;3;FALSE
lairon;steel;rock;430;60;90;140;50;50;40;3;FALSE
aggron;steel;rock;530;70;110;180;60;60;50;3;FALSE
aggronmega aggron;steel;;630;70;140;230;60;80;50;3;FALSE
meditite;fighting;psychic;280;30;40;55;40;55;60;3;FALSE
medicham;fighting;psychic;410;60;60;75;60;75;80;3;FALSE
medichammega medicham;fighting;psychic;510;60;100;85;80;85;100;3;FALSE
electrike;electric;;295;40;45;40;65;40;65;3;FALSE
manectric;electric;;475;70;75;60;105;60;105;3;FALSE
manectricmega manectric;electric;;575;70;75;80;135;80;135;3;FALSE
plusle;electric;;405;60;50;40;85;75;95;3;FALSE
minun;electric;;405;60;40;50;75;85;95;3;FALSE
volbeat;bug;;400;65;73;55;47;75;85;3;FALSE
illumise;bug;;400;65;47;55;73;75;85;3;FALSE
roselia;grass;poison;400;50;60;45;100;80;65;3;FALSE
gulpin;poison;;302;70;43;53;43;53;40;3;FALSE
swalot;poison;;467;100;73;83;73;83;55;3;FALSE
carvanha;water;dark;305;45;90;20;65;20;65;3;FALSE
sharpedo;water;dark;460;70;120;40;95;40;95;3;FALSE
sharpedomega sharpedo;water;dark;560;70;140;70;110;65;105;3;FALSE
wailmer;water;;400;130;70;35;70;35;60;3;FALSE
wailord;water;;500;170;90;45;90;45;60;3;FALSE
numel;fire;ground;305;60;60;40;65;45;35;3;FALSE
camerupt;fire;ground;460;70;100;70;105;75;40;3;FALSE
cameruptmega camerupt;fire;ground;560;70;120;100;145;105;20;3;FALSE
torkoal;fire;;470;70;85;140;85;70;20;3;FALSE
spoink;psychic;;330;60;25;35;70;80;60;3;FALSE
grumpig;psychic;;470;80;45;65;90;110;80;3;FALSE
spinda;normal;;360;60;60;60;60;60;60;3;FALSE
trapinch;ground;;290;45;100;45;45;45;10;3;FALSE
vibrava;ground;dragon;340;50;70;50;50;50;70;3;FALSE
flygon;ground;dragon;520;80;100;80;80;80;100;3;FALSE
cacnea;grass;;335;50;85;40;85;40;35;3;FALSE
cacturne;grass;dark;475;70;115;60;115;60;55;3;FALSE
swablu;normal;flying;310;45;40;60;40;75;50;3;FALSE
altaria;dragon;flying;490;75;70;90;70;105;80;3;FALSE
altariamega altaria;dragon;fairy;590;75;110;110;110;105;80;3;FALSE
zangoose;normal;;458;73;115;60;60;60;90;3;FALSE
seviper;poison;;458;73;100;60;100;60;65;3;FALSE
lunatone;rock;psychic;440;70;55;65;95;85;70;3;FALSE
solrock;rock;psychic;440;70;95;85;55;65;70;3;FALSE
barboach;water;ground;288;50;48;43;46;41;60;3;FALSE
whiscash;water;ground;468;110;78;73;76;71;60;3;FALSE
corphish;water;;308;43;80;65;50;35;35;3;FALSE
crawdaunt;water;dark;468;63;120;85;90;55;55;3;FALSE
baltoy;ground;psychic;300;40;40;55;40;70;55;3;FALSE
claydol;ground;psychic;500;60;70;105;70;120;75;3;FALSE
lileep;rock;grass;355;66;41;77;61;87;23;3;FALSE
cradily;rock;grass;495;86;81;97;81;107;43;3;FALSE
anorith;rock;bug;355;45;95;50;40;50;75;3;FALSE
armaldo;rock;bug;495;75;125;100;70;80;45;3;FALSE
feebas;water;;200;20;15;20;10;55;80;3;FALSE
milotic;water;;540;95;60;79;100;125;81;3;FALSE
castform;normal;;420;70;70;70;70;70;70;3;FALSE
kecleon;normal;;440;60;90;70;60;120;40;3;FALSE
shuppet;ghost;;295;44;75;35;63;33;45;3;FALSE
banette;ghost;;455;64;115;65;83;63;65;3;FALSE
banettemega banette;ghost;;555;64;165;75;93;83;75;3;FALSE
duskull;ghost;;295;20;40;90;30;90;25;3;FALSE
dusclops;ghost;;455;40;70;130;60;130;25;3;FALSE
tropius;grass;flying;460;99;68;83;72;87;51;3;FALSE
chimecho;psychic;;425;65;50;70;95;80;65;3;FALSE
absol;dark;;465;65;130;60;75;60;75;3;FALSE
absolmega absol;dark;;565;65;150;60;115;60;115;3;FALSE
wynaut;psychic;;260;95;23;48;23;48;23;3;FALSE
snorunt;ice;;300;50;50;50;50;50;50;3;FALSE
glalie;ice;;480;80;80;80;80;80;80;3;FALSE
glaliemega glalie;ice;;580;80;120;80;120;80;100;3;FALSE
spheal;ice;water;290;70;40;50;55;50;25;3;FALSE
sealeo;ice;water;410;90;60;70;75;70;45;3;FALSE
walrein;ice;water;530;110;80;90;95;90;65;3;FALSE
clamperl;water;;345;35;64;85;74;55;32;3;FALSE
huntail;water;;485;55;104;105;94;75;52;3;FALSE
gorebyss;water;;485;55;84;105;114;75;52;3;FALSE
