name;type1;type2;total;hp;attack;defense;spAtt;spDef;speed;generation;legendary
relicanth;water;rock;485;100;90;130;45;65;55;3;FALSE
luvdisc;water;;330;43;30;55;40;65;97;3;FALSE
bagon;dragon;;300;45;75;60;40;30;50;3;FALSE
shelgon;dragon;;420;65;95;100;60;50;50;3;FALSE
salamence;dragon;flying;600;95;135;80;110;80;100;3;FALSE
salamencemega salamence;dragon;flying;700;95;145;130;120;90;120;3;FALSE
beldum;steel;psychic;300;40;55;80;35;60;30;3;FALSE
metang;steel;psychic;420;60;75;100;55;80;50;3;FALSE
metagross;steel;psychic;600;80;135;130;95;90;70;3;FALSE
metagrossmega metagross;steel;psychic;700;80;145;150;105;110;110;3;FALSE
regirock;rock;;580;80;100;200;50;100;50;3;TRUE
regice;ice;;580;80;50;100;100;200;50;3;TRUE
registeel;steel;;580;80;75;150;75;150;50;3;TRUE
latias;dragon;psychic;600;80;80;90;110;130;110;3;TRUE
latiasmega latias;dragon;psychic;700;80;100;120;140;150;110;3;TRUE
latios;dragon;psychic;600;80;90;80;130;110;110;3;TRUE
latiosmega latios;dragon;psychic;700;80;130;100;160;120;110;3;TRUE
kyogre;water;;670;100;100;90;150;140;90;3;TRUE
kyogreprimal kyogre;water;;770;100;150;90;180;160;90;3;TRUE
groudon;ground;;670;100;150;140;100;90;90;3;TRUE
groudonprimal groudon;ground;fire;770;100;180;160;150;90;90;3;TRUE
rayquaza;dragon;flying;680;105;150;90;150;90;95;3;TRUE
rayquazamega rayquaza;dragon;flying;780;105;180;100;180;100;115;3;TRUE
jirachi;steel;psychic;600;100;100;100;100;100;100;3;TRUE
deoxysnormal forme;psychic;;600;50;150;50;150;50;150;3;TRUE
deoxysattack forme;psychic;;600;50;180;20;180;20;150;3;TRUE
deoxysdefense forme;psychic;;600;50;70;160;70;160;90;3;TRUE
deoxysspeed forme;psychic;;600;50;95;90;95;90;180;3;TRUE
turtwig;grass;;318;55;68;64;45;55;31;4;FALSE
grotle;grass;;405;75;89;85;55;65;36;4;FALSE
torterra;grass;ground;525;95;109;105;75;85;56;4;FALSE
chimchar;fire;;309;44;58;44;58;44;61;4;FALSE
monferno;fire;fighting;405;64;78;52;78;52;81;4;FALSE
infernape;fire;fighting;534;76;104;71;104;71;108;4;FALSE
piplup;water;;314;53;51;53;61;56;40;4;FALSE
prinplup;water;;405;64;66;68;81;76;50;4;FALSE
empoleon;water;steel;530;84;86;88;111;101;60;4;FALSE
starly;normal;flying;245;40;55;30;30;30;60;4;FALSE
staravia;normal;flying;340;55;75;50;40;40;80;4;FALSE
staraptor;normal;flying;485;85;120;70;50;60;100;4;FALSE
bidoof;normal;;250;59;45;40;35;40;31;4;FALSE
bibarel;normal;water;410;79;85;60;55;60;71;4;FALSE
kricketot;bug;;194;37;25;41;25;41;25;4;FALSE
kricketune;bug;;384;77;85;51;55;51;65;4;FALSE
shinx;electric;;263;45;65;34;40;34;45;4;FALSE
luxio;electric;;363;60;85;49;60;49;60;4;FALSE
luxray;electric;;523;80;120;79;95;79;70;4;FALSE
budew;grass;poison;280;40;30;35;50;70;55;4;FALSE
roserade;grass;poison;515;60;70;65;125;105;90;4;FALSE
cranidos;rock;;350;67;125;40;30;30;58;4;FALSE
rampardos;rock;;495;97;165;60;65;50;58;4;FALSE
shieldon;rock;steel;350;30;42;118;42;88;30;4;FALSE
bastiodon;rock;steel;495;60;52;168;47;138;30;4;FALSE
burmy;bug;;224;40;29;45;29;45;36;4;FALSE
wormadamplant cloak;bug;grass;424;60;59;85;79;105;36;4;FALSE
wormadamsandy cloak;bug;ground;424;60;79;105;59;85;36;4;FALSE
wormadamtrash cloak;bug;steel;424;60;69;95;69;95;36;4;FALSE
mothim;bug;flying;424;70;94;50;94;50;66;4;FALSE
combee;bug;flying;244;30;30;42;30;42;70;4;FALSE
vespiquen;bug;flying;474;70;80;102;80;102;40;4;FALSE
pachirisu;electric;;405;60;45;70;45;90;95;4;FALSE
buizel;water;;330;55;65;35;60;30;85;4;FALSE
floatzel;water;;495;85;105;55;85;50;115;4;FALSE
cherubi;grass;;275;45;35;45;62;53;35;4;FALSE
cherrim;grass;;450;70;60;70;87;78;85;4;FALSE
shellos;water;;325;76;48;48;57;62;34;4;FALSE
gastrodon;water;ground;475;111;83;68;92;82;39;4;FALSE
ambipom;normal;;482;75;100;66;60;66;115;4;FALSE
drifloon;ghost;flying;348;90;50;34;60;44;70;4;FALSE
drifblim;ghost;flying;498;150;80;44;90;54;80;4;FALSE
buneary;normal;;350;55;66;44;44;56;85;4;FALSE
lopunny;normal;;480;65;76;84;54;96;105;4;FALSE
lopunnymega lopunny;normal;fighting;580;65;136;94;54;96;135;4;FALSE
mismagius;ghost;;495;60;60;60;105;105;105;4;FALSE
honchkrow;dark;flying;505;100;125;52;105;52;71;4;FALSE
glameow;normal;;310;49;55;42;42;37;85;4;FALSE
purugly;normal;;452;71;82;64;64;59;112;4;FALSE
chingling;psychic;;285;45;30;50;65;50;45;4;FALSE
stunky;poison;dark;329;63;63;47;41;41;74;4;FALSE
skuntank;poison;dark;479;103;93;67;71;61;84;4;FALSE
bronzor;steel;psychic;300;57;24;86;24;86;23;4;FALSE
bronzong;steel;psychic;500;67;89;116;79;116;33;4;FALSE
bonsly;rock;;290;50;80;95;10;45;10;4;FALSE
mime jr.;psychic;fairy;310;20;25;45;70;90;60;4;FALSE
happiny;normal;;220;100;5;5;15;65;30;4;FALSE
chatot;normal;flying;411;76;65;45;92;42;91;4;FALSE
spiritomb;ghost;dark;485;50;92;108;92;108;35;4;FALSE
gible;dragon;ground;300;58;70;45;40;45;42;4;FALSE
gabite;dragon;ground;410;68;90;65;50;55;82;4;FALSE
garchomp;dragon;ground;600;108;130;95;80;85;102;4;FALSE
garchompmega garchomp;dragon;ground;700;108;170;115;120;95;92;4;FALSE
munchlax;normal;;390;135;85;40;40;85;5;4;FALSE
riolu;fighting;;285;40;70;40;35;40;60;4;FALSE
lucario;fighting;steel;525;70;110;70;115;70;90;4;FALSE
lucariomega lucario;fighting;steel;625;70;145;88;140;70;112;4;FALSE
hippopotas;ground;;330;68;72;78;38;42;32;4;FALSE
hippowdon;ground;;525;108;112;118;68;72;47;4;FALSE
skorupi;poison;bug;330;40;50;90;30;55;65;4;FALSE
drapion;poison;dark;500;70;90;110;60;75;95;4;FALSE
croagunk;poison;fighting;300;48;61;40;61;40;50;4;FALSE
toxicroak;poison;fighting;490;83;106;65;86;65;85;4;FALSE
carnivine;grass;;454;74;100;72;90;72;46;4;FALSE
finneon;water;;330;49;49;56;49;61;66;4;FALSE
lumineon;water;;460;69;69;76;69;86;91;4;FALSE
mantyke;water;flying;345;45;20;50;60;120;50;4;FALSE
snover;grass;ice;334;60;62;50;62;60;40;4;FALSE
abomasnow;grass;ice;494;90;92;75;92;85;60;4;FALSE
abomasnowmega abomasnow;grass;ice;594;90;132;105;132;105;30;4;FALSE
weavile;dark;ice;510;70;120;65;45;85;125;4;FALSE
magnezone;electric;steel;535;70;70;115;130;90;60;4;FALSE
lickilicky;normal;;515;110;85;95;80;95;50;4;FALSE
rhyperior;ground;rock;535;115;140;130;55;55;40;4;FALSE
tangrowth;grass;;535;100;100;125;110;50;50;4;FALSE
electivire;electric;;540;75;123;67;95;85;95;4;FALSE
magmortar;fire;;540;75;95;67;125;95;83;4;FALSE
togekiss;fairy;flying;545;85;50;95;120;115;80;4;FALSE
yanmega;bug;flying;515;86;76;86;116;56;95;4;FALSE
leafeon;grass;;525;65;110;130;60;65;95;4;FALSE
glaceon;ice;;525;65;60;110;130;95;65;4;FALSE
gliscor;ground;flying;510;75;95;125;45;75;95;4;FALSE
mamoswine;ice;ground;530;110;130;80;70;60;80;4;FALSE
porygon-z;normal;;535;85;80;70;135;75;90;4;FALSE
gallade;psychic;fighting;518;68;125;65;65;115;80;4;FALSE
gallademega gallade;psychic;fighting;618;68;165;95;65;115;110;4;FALSE
probopass;rock;steel;525;60;55;145;75;150;40;4;FALSE
dusknoir;ghost;;525;45;100;135;65;135;45;4;FALSE
froslass;ice;ghost;480;70;80;70;80;70;110;4;FALSE
rotom;electric;ghost;440;50;50;77;95;77;91;4;FALSE
rotomheat rotom;electric;fire;520;50;65;107;105;107;86;4;FALSE
rotomwash rotom;electric;water;520;50;65;107;105;107;86;4;FALSE
rotomfrost rotom;electric;ice;520;50;65;107;105;107;86;4;FALSE
rotomfan rotom;electric;flying;520;50;65;107;105;107;86;4;FALSE
rotommow rotom;electric;grass;520;50;65;107;105;107;86;4;FALSE
uxie;psychic;;580;75;75;130;75;130;95;4;TRUE
mesprit;psychic;;580;80;105;105;105;105;80;4;TRUE
azelf;psychic;;580;75;125;70;125;70;115;4;TRUE
dialga;steel;dragon;680;100;120;120;150;100;90;4;TRUE
palkia;water;dragon;680;90;120;100;150;120;100;4;TRUE
heatran;fire;steel;600;91;90;106;130;106;77;4;TRUE
regigigas;normal;;670;110;160;110;80;110;100;4;TRUE
giratinaaltered forme;ghost;dragon;680;150;100;120;100;120;90;4;TRUE
giratinaorigin forme;ghost;dragon;680;150;120;100;120;100;90;4;TRUE
cresselia;psychic;;600;120;70;120;75;130;85;4;FALSE
phione;water;;480;80;80;80;80;80;80;4;FALSE
manaphy;water;;600;100;100;100;100;100;100;4;FALSE
darkrai;dark;;600;70;90;90;135;90;125;4;TRUE
shayminland forme;grass;;600;100;100;100;100;100;100;4;TRUE
shayminsky forme;grass;flying;600;100;103;75;120;75;127;4;TRUE
arceus;normal;;720;120;120;120;120;120;120;4;TRUE
victini;psychic;fire;600;100;100;100;100;100;100;5;TRUE
snivy;grass;;308;45;45;55;45;55;63;5;FALSE
servine;grass;;413;60;60;75;60;75;83;5;FALSE
serperior;grass;;528;75;75;95;75;95;113;5;FALSE
tepig;fire;;308;65;63;45;45;45;45;5;FALSE
pignite;fire;fighting;418;90;93;55;70;55;55;5;FALSE
emboar;fire;fighting;528;110;123;65;100;65;65;5;FALSE
oshawott;water;;308;55;55;45;63;45;45;5;FALSE
dewott;water;;413;75;75;60;83;60;60;5;FALSE
samurott;water;;528;95;100;85;108;70;70;5;FALSE
patrat;normal;;255;45;55;39;35;39;42;5;FALSE
watchog;normal;;420;60;85;69;60;69;77;5;FALSE
lillipup;normal;;275;45;60;45;25;45;55;5;FALSE
herdier;normal;;370;65;80;65;35;65;60;5;FALSE
stoutland;normal;;500;85;110;90;45;90;80;5;FALSE
purrloin;dark;;281;41;50;37;50;37;66;5;FALSE
liepard;dark;;446;64;88;50;88;50;106;5;FALSE
pansage;grass;;316;50;53;48;53;48;64;5;FALSE
simisage;grass;;498;75;98;63;98;63;101;5;FALSE
pansear;fire;;316;50;53;48;53;48;64;5;FALSE
simisear;fire;;498;75;98;63;98;63;101;5;FALSE
panpour;water;;316;50;53;48;53;48;64;5;FALSE
simipour;water;;498;75;98;63;98;63;101;5;FALSE
munna;psychic;;292;76;25;45;67;55;24;5;FALSE
musharna;psychic;;487;116;55;85;107;95;29;5;FALSE
pidove;normal;flying;264;50;55;50;36;30;43;5;FALSE
tranquill;normal;flying;358;62;77;62;50;42;65;5;FALSE
unfezant;normal;flying;488;80;115;80;65;55;93;5;FALSE
blitzle;electric;;295;45;60;32;50;32;76;5;FALSE
zebstrika;electric;;497;75;100;63;80;63;116;5;FALSE
roggenrola;rock;;280;55;75;85;25;25;15;5;FALSE
boldore;rock;;390;70;105;105;50;40;20;5;FALSE
gigalith;rock;;515;85;135;130;60;80;25;5;FALSE
woobat;psychic;flying;313;55;45;43;55;43;72;5;FALSE
swoobat;psychic;flying;425;67;57;55;77;55;114;5;FALSE
drilbur;ground;;328;60;85;40;30;45;68;5;FALSE
excadrill;ground;steel;508;110;135;60;50;65;88;5;FALSE
audino;normal;;445;103;60;86;60;86;50;5;FALSE
audinomega audino;normal;fairy;545;103;60;126;80;126;50;5;FALSE
timburr;fighting;;305;75;80;55;25;35;35;5;FALSE
gurdurr;fighting;;405;85;105;85;40;50;40;5;FALSE
conkeldurr;fighting;;505;105;140;95;55;65;45;5;FALSE
tympole;water;;294;50;50;40;50;40;64;5;FALSE
palpitoad;water;ground;384;75;65;55;65;55;69;5;FALSE
seismitoad;water;ground;509;105;95;75;85;75;74;5;FALSE
throh;fighting;;465;120;100;85;30;85;45;5;FALSE
sawk;fighting;;465;75;125;75;30;75;85;5;FALSE
sewaddle;bug;grass;310;45;53;70;40;60;42;5;FALSE
swadloon;bug;grass;380;55;63;90;50;80;42;5;FALSE
leavanny;bug;grass;500;75;103;80;70;80;92;5;FALSE
venipede;bug;poison;260;30;45;59;30;39;57;5;FALSE
whirlipede;bug;poison;360;40;55;99;40;79;47;5;FALSE
scolipede;bug;poison;485;60;100;89;55;69;112;5;FALSE
cottonee;grass;fairy;280;40;27;60;37;50;66;5;FALSE
whimsicott;grass;fairy;480;60;67;85;77;75;116;5;FALSE
petilil;grass;;280;45;35;50;70;50;30;5;FALSE
lilligant;grass;;480;70;60;75;110;75;90;5;FALSE
basculin;water;;460;70;92;65;80;55;98;5;FALSE
sandile;ground;dark;292;50;72;35;35;35;65;5;FALSE
krokorok;ground;dark;351;60;82;45;45;45;74;5;FALSE
krookodile;ground;dark;519;95;117;80;65;70;92;5;FALSE
darumaka;fire;;315;70;90;45;15;45;50;5;FALSE
darmanitanstandard mode;fire;;480;105;140;55;30;55;95;5;FALSE
darmanitanzen mode;fire;psychic;540;105;30;105;140;105;55;5;FALSE
maractus;grass;;461;75;86;67;106;67;60;5;FALSE
dwebble;bug;rock;325;50;65;85;35;35;55;5;FALSE
crustle;bug;rock;475;70;95;125;65;75;45;5;FALSE
scraggy;dark;fighting;348;50;75;70;35;70;48;5;FALSE
scrafty;dark;fighting;488;65;90;115;45;115;58;5;FALSE
sigilyph;psychic;flying;490;72;58;80;103;80;97;5;FALSE
yamask;ghost;;303;38;30;85;55;65;30;5;FALSE
cofagrigus;ghost;;483;58;50;145;95;105;30;5;FALSE
tirtouga;water;rock;355;54;78;103;53;45;22;5;FALSE
carracosta;water;rock;495;74;108;133;83;65;32;5;FALSE
archen;rock;flying;401;55;112;45;74;45;70;5;FALSE
archeops;rock;flying;567;75;140;65;112;65;110;5;FALSE
trubbish;poison;;329;50;50;62;40;62;65;5;FALSE
garbodor;poison;;474;80;95;82;60;82;75;5;FALSE
zorua;dark;;330;40;65;40;80;40;65;5;FALSE
zoroark;dark;;510;60;105;60;120;60;105;5;FALSE
minccino;normal;;300;55;50;40;40;40;75;5;FALSE
cinccino;normal;;470;75;95;60;65;60;115;5;FALSE
gothita;psychic;;290;45;30;50;55;65;45;5;FALSE
gothorita;psychic;;390;60;45;70;75;85;55;5;FALSE
gothitelle;psychic;;490;70;55;95;95;110;65;5;FALSE
solosis;psychic;;290;45;30;40;105;50;20;5;FALSE
duosion;psychic;;370;65;40;50;125;60;30;5;FALSE
reuniclus;psychic;;490;110;65;75;125;85;30;5;FALSE
ducklett;water;flying;305;62;44;50;44;50;55;5;FALSE
swanna;water;flying;473;75;87;63;87;63;98;5;FALSE
vanillite;ice;;305;36;50;50;65;60;44;5;FALSE
vanillish;ice;;395;51;65;65;80;75;59;5;FALSE
vanilluxe;ice;;535;71;95;85;110;95;79;5;FALSE
deerling;normal;grass;335;60;60;50;40;50;75;5;FALSE
sawsbuck;normal;grass;475;80;100;70;60;70;95;5;FALSE
emolga;electric;flying;428;55;75;60;75;60;103;5;FALSE
karrablast;bug;;315;50;75;45;40;45;60;5;FALSE
escavalier;bug;steel;495;70;135;105;60;105;20;5;FALSE
foongus;grass;poison;294;69;55;45;55;55;15;5;FALSE
amoonguss;grass;poison;464;114;85;70;85;80;30;5;FALSE
frillish;water;ghost;335;55;40;50;65;85;40;5;FALSE
jellicent;water;ghost;480;100;60;70;85;105;60;5;FALSE
alomomola;water;;470;165;75;80;40;45;65;5;FALSE
joltik;bug;electric;319;50;47;50;57;50;65;5;FALSE
galvantula;bug;electric;472;70;77;60;97;60;108;5;FALSE
ferroseed;grass;steel;305;44;50;91;24;86;10;5;FALSE
ferrothorn;grass;steel;489;74;94;131;54;116;20;5;FALSE
klink;steel;;300;40;55;70;45;60;30;5;FALSE
klang;steel;;440;60;80;95;70;85;50;5;FALSE
klinklang;steel;;520;60;100;115;70;85;90;5;FALSE
tynamo;electric;;275;35;55;40;45;40;60;5;FALSE
eelektrik;electric;;405;65;85;70;75;70;40;5;FALSE
eelektross;electric;;515;85;115;80;105;80;50;5;FALSE
elgyem;psychic;;335;55;55;55;85;55;30;5;FALSE
beheeyem;psychic;;485;75;75;75;125;95;40;5;FALSE
litwick;ghost;fire;275;50;30;55;65;55;20;5;FALSE
lampent;ghost;fire;370;60;40;60;95;60;55;5;FALSE
chandelure;ghost;fire;520;60;55;90;145;90;80;5;FALSE
axew;dragon;;320;46;87;60;30;40;57;5;FALSE
fraxure;dragon;;410;66;117;70;40;50;67;5;FALSE
haxorus;dragon;;540;76;147;90;60;70;97;5;FALSE
cubchoo;ice;;305;55;70;40;60;40;40;5;FALSE
beartic;ice;;485;95;110;80;70;80;50;5;FALSE
cryogonal;ice;;485;70;50;30;95;135;105;5;FALSE
shelmet;bug;;305;50;40;85;40;65;25;5;FALSE
accelgor;bug;;495;80;70;40;100;60;145;5;FALSE
stunfisk;ground;electric;471;109;66;84;81;99;32;5;FALSE
mienfoo;fighting;;350;45;85;50;55;50;65;5;FALSE
mienshao;fighting;;510;65;125;60;95;60;105;5;FALSE
druddigon;dragon;;485;77;120;90;60;90;48;5;FALSE
golett;ground;ghost;303;59;74;50;35;50;35;5;FALSE
golurk;ground;ghost;483;89;124;80;55;80;55;5;FALSE
pawniard;dark;steel;340;45;85;70;40;40;60;5;FALSE
bisharp;dark;steel;490;65;125;100;60;70;70;5;FALSE
bouffalant;normal;;490;95;110;95;40;95;55;5;FALSE
rufflet;normal;flying;350;70;83;50;37;50;60;5;FALSE
braviary;normal;flying;510;100;123;75;57;75;80;5;FALSE
vullaby;dark;flying;370;70;55;75;45;65;60;5;FALSE
mandibuzz;dark;flying;510;110;65;105;55;95;80;5;FALSE
heatmor;fire;;484;85;97;66;105;66;65;5;FALSE
durant;bug;steel;484;58;109;112;48;48;109;5;FALSE
deino;dark;dragon;300;52;65;50;45;50;38;5;FALSE
zweilous;dark;dragon;420;72;85;70;65;70;58;5;FALSE
hydreigon;dark;dragon;600;92;105;90;125;90;98;5;FALSE
larvesta;bug;fire;360;55;85;55;50;55;60;5;FALSE
volcarona;bug;fire;550;85;60;65;135;105;100;5;FALSE
cobalion;steel;fighting;580;91;90;129;90;72;108;5;TRUE
terrakion;rock;fighting;580;91;129;90;72;90;108;5;TRUE
virizion;grass;fighting;580;91;90;72;90;129;108;5;TRUE
tornadusincarnate forme;flying;;580;79;115;70;125;80;111;5;TRUE
tornadustherian forme;flying;;580;79;100;80;110;90;121;5;TRUE
thundurusincarnate forme;electric;flying;580;79;115;70;125;80;111;5;TRUE
thundurustherian forme;electric;flying;580;79;105;70;145;80;101;5;TRUE
reshiram;dragon;fire;680;100;120;100;150;120;90;5;TRUE
zekrom;dragon;electric;680;100;150;120;120;100;90;5;TRUE
landorusincarnate forme;ground;flying;600;89;125;90;115;80;101;5;TRUE
landorustherian forme;ground;flying;600;89;145;90;105;80;91;5;TRUE
kyurem;dragon;ice;660;125;130;90;130;90;95;5;TRUE
kyuremblack kyurem;dragon;ice;700;125;170;100;120;90;95;5;TRUE
kyuremwhite kyurem;dragon;ice;700;125;120;90;170;100;95;5;TRUE
keldeoordinary forme;water;fighting;580;91;72;90;129;90;108;5;FALSE
keldeoresolute forme;water;fighting;580;91;72;90;129;90;108;5;FALSE
meloettaaria forme;normal;psychic;600;100;77;77;128;128;90;5;FALSE
meloettapirouette forme;normal;fighting;600;100;128;90;77;77;128;5;FALSE
genesect;bug;steel;600;71;120;95;120;95;99;5;FALSE
chespin;grass;;313;56;61;65;48;45;38;6;FALSE
quilladin;grass;;405;61;78;95;56;58;57;6;FALSE
chesnaught;grass;fighting;530;88;107;122;74;75;64;6;FALSE
fennekin;fire;;307;40;45;40;62;60;60;6;FALSE
braixen;fire;;409;59;59;58;90;70;73;6;FALSE
delphox;fire;psychic;534;75;69;72;114;100;104;6;FALSE
froakie;water;;314;41;56;40;62;44;71;6;FALSE
frogadier;water;;405;54;63;52;83;56;97;6;FALSE
greninja;water;dark;530;72;95;67;103;71;122;6;FALSE
bunnelby;normal;;237;38;36;38;32;36;57;6;FALSE
diggersby;normal;ground;423;85;56;77;50;77;78;6;FALSE
fletchling;normal;flying;278;45;50;43;40;38;62;6;FALSE
fletchinder;fire;flying;382;62;73;55;56;52;84;6;FALSE
talonflame;fire;flying;499;78;81;71;74;69;126;6;FALSE
scatterbug;bug;;200;38;35;40;27;25;35;6;FALSE
spewpa;bug;;213;45;22;60;27;30;29;6;FALSE
vivillon;bug;flying;411;80;52;50;90;50;89;6;FALSE
litleo;fire;normal;369;62;50;58;73;54;72;6;FALSE
pyroar;fire;normal;507;86;68;72;109;66;106;6;FALSE
flabacaba;fairy;;303;44;38;39;61;79;42;6;FALSE
floette;fairy;;371;54;45;47;75;98;52;6;FALSE
florges;fairy;;552;78;65;68;112;154;75;6;FALSE
skiddo;grass;;350;66;65;48;62;57;52;6;FALSE
gogoat;grass;;531;123;100;62;97;81;68;6;FALSE
pancham;fighting;;348;67;82;62;46;48;43;6;FALSE
pangoro;fighting;dark;495;95;124;78;69;71;58;6;FALSE
furfrou;normal;;472;75;80;60;65;90;102;6;FALSE
espurr;psychic;;355;62;48;54;63;60;68;6;FALSE
meowsticmale;psychic;;466;74;48;76;83;81;104;6;FALSE
meowsticfemale;psychic;;466;74;48;76;83;81;104;6;FALSE
honedge;steel;ghost;325;45;80;100;35;37;28;6;FALSE
doublade;steel;ghost;448;59;110;150;45;49;35;6;FALSE
aegislashblade forme;steel;ghost;520;60;150;50;150;50;60;6;FALSE
aegislashshield forme;steel;ghost;520;60;50;150;50;150;60;6;FALSE
spritzee;fairy;;341;78;52;60;63;65;23;6;FALSE
aromatisse;fairy;;462;101;72;72;99;89;29;6;FALSE
swirlix;fairy;;341;62;48;66;59;57;49;6;FALSE
slurpuff;fairy;;480;82;80;86;85;75;72;6;FALSE
inkay;dark;psychic;288;53;54;53;37;46;45;6;FALSE
malamar;dark;psychic;482;86;92;88;68;75;73;6;FALSE
binacle;rock;water;306;42;52;67;39;56;50;6;FALSE
barbaracle;rock;water;500;72;105;115;54;86;68;6;FALSE
skrelp;poison;water;320;50;60;60;60;60;30;6;FALSE
dragalge;poison;dragon;494;65;75;90;97;123;44;6;FALSE
clauncher;water;;330;50;53;62;58;63;44;6;FALSE
clawitzer;water;;500;71;73;88;120;89;59;6;FALSE
helioptile;electric;normal;289;44;38;33;61;43;70;6;FALSE
heliolisk;electric;normal;481;62;55;52;109;94;109;6;FALSE
tyrunt;rock;dragon;362;58;89;77;45;45;48;6;FALSE
tyrantrum;rock;dragon;521;82;121;119;69;59;71;6;FALSE
amaura;rock;ice;362;77;59;50;67;63;46;6;FALSE
aurorus;rock;ice;521;123;77;72;99;92;58;6;FALSE
sylveon;fairy;;525;95;65;65;110;130;60;6;FALSE
hawlucha;fighting;flying;500;78;92;75;74;63;118;6;FALSE
dedenne;electric;fairy;431;67;58;57;81;67;101;6;FALSE
carbink;rock;fairy;500;50;50;150;50;150;50;6;FALSE
goomy;dragon;;300;45;50;35;55;75;40;6;FALSE
sliggoo;dragon;;452;68;75;53;83;113;60;6;FALSE
goodra;dragon;;600;90;100;70;110;150;80;6;FALSE
klefki;steel;fairy;470;57;80;91;80;87;75;6;FALSE
phantump;ghost;grass;309;43;70;48;50;60;38;6;FALSE
trevenant;ghost;grass;474;85;110;76;65;82;56;6;FALSE
pumpkabooaverage size;ghost;grass;335;49;66;70;44;55;51;6;FALSE
pumpkaboosmall size;ghost;grass;335;44;66;70;44;55;56;6;FALSE
pumpkaboolarge size;ghost;grass;335;54;66;70;44;55;46;6;FALSE
pumpkaboosuper size;ghost;grass;335;59;66;70;44;55;41;6;FALSE
gourgeistaverage size;ghost;grass;494;65;90;122;58;75;84;6;FALSE
gourgeistsmall size;ghost;grass;494;55;85;122;58;75;99;6;FALSE
gourgeistlarge size;ghost;grass;494;75;95;122;58;75;69;6;FALSE
gourgeistsuper size;ghost;grass;494;85;100;122;58;75;54;6;FALSE
bergmite;ice;;304;55;69;85;32;35;28;6;FALSE
avalugg;ice;;514;95;117;184;44;46;28;6;FALSE
noibat;flying;dragon;245;40;30;35;45;40;55;6;FALSE
noivern;flying;dragon;535;85;70;80;97;80;123;6;FALSE
xerneas;fairy;;680;126;131;95;131;98;99;6;TRUE
yveltal;dark;flying;680;126;131;95;131;98;99;6;TRUE
zygarde50% forme;dragon;ground;600;108;100;121;81;95;95;6;TRUE
diancie;rock;fairy;600;50;100;150;100;150;50;6;TRUE
dianciemega diancie;rock;fairy;700;50;160;110;160;110;110;6;TRUE
hoopahoopa confined;psychic;ghost;600;80;110;60;150;130;70;6;TRUE
hoopahoopa unbound;psychic;dark;680;80;160;60;170;130;80;6;TRUE
volcanion;fire;water;600;80;110;120;130;90;70;6;TRUE
